T0	T1	T2	T3
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
0.05	0.2	0.05	0.05
0.05	0.2	0.05	0.05
0.05	0.2	0.05	0.05
0.05	0.2	0.05	0.05
0.05	0.2	0.05	0.05
0.05	0.2	0.05	0.05
0.05	0.2	0.05	0.05
0.05	0.2	0.05	0.05
0.05	0.2	0.05	0.05
0.05	0.2	0.05	0.05
0.05	0.3	0.9	0.95
0.05	0.3	0.9	0.95
0.05	0.3	0.9	0.95
0.05	0.3	0.9	0.95
0.05	0.3	0.9	0.95
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0.05	0.65	0.85
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.1	0.25
0	0	0.25	0.5
0	0	0.25	0.5
0	0	0.25	0.5
0	0	0.25	0.5
0	0	0.25	0.5
0	0	0.25	0.5
0	0	0.25	0.5
0	0	0.25	0.5
0	0	0.25	0.5
0	0	0.25	0.5
