GENE	names
1	gene1
2	gene2
3	gene3
4	gene4
5	gene5
6	gene6
7	gene7
8	gene8
9	gene9
10	gene10
11	gene11
12	gene12
13	gene13
14	gene14
15	gene15
16	gene16
17	gene17
18	gene18
19	gene19
20	gene20
21	gene21
22	gene22
23	gene23
24	gene24
25	gene25
26	gene26
27	gene27
28	gene28
29	gene29
30	gene30
31	gene31
32	gene32
33	gene33
34	gene34
35	gene35
36	gene36
37	gene37
38	gene38
39	gene39
40	gene40
41	gene41
42	gene42
43	gene43
44	gene44
45	gene45
46	gene46
47	gene47
48	gene48
49	gene49
50	gene50
51	gene51
52	gene52
53	gene53
54	gene54
55	gene55
56	gene56
57	gene57
58	gene58
59	gene59
60	gene60
61	gene61
62	gene62
63	gene63
64	gene64
65	gene65
66	gene66
67	gene67
68	gene68
69	gene69
70	gene70
71	gene71
72	gene72
73	gene73
74	gene74
75	gene75
76	gene76
77	gene77
78	gene78
79	gene79
80	gene80
81	gene81
82	gene82
83	gene83
84	gene84
85	gene85
86	gene86
87	gene87
88	gene88
89	gene89
90	gene90
